Certain_Boulder_Line.SHAPE_Length,Certain_Boulder_Points.LAT,Certain_Boulder_Points.LON
11.89289131,24.55887437,-30.08432633
8.059735763,24.55894243,-30.08423234
10.47909612,24.55897146,-30.08429111
10.92949751,24.55909519,-30.0838521
9.5617014,24.55903094,-30.08367578
10.6793094,24.55912208,-30.0835737
8.93771902,24.55902071,-30.08324391
9.23695538,24.55901524,-30.08330911
9.71141621,24.55930506,-30.08421996
9.593586385,24.55930387,-30.08394989
9.736985962,24.55933623,-30.08399653
9.844790543,24.55939928,-30.08397845
9.092280395,24.55960463,-30.08365532
7.010975987,24.55952421,-30.08429825
8.467063322,24.55954253,-30.08433917
6.661842256,24.55938762,-30.08428135
7.488126833,24.55934979,-30.08430872
9.27221518,24.55945591,-30.08287485
9.502177399,24.55986613,-30.0828582
7.719337877,24.55997511,-30.08276611
8.28850719,24.55950541,-30.08382569
8.087991153,24.55949756,-30.08387447
7.849749851,24.55959392,-30.0839982
8.938211377,24.55962438,-30.08307616
11.87832081,24.56044548,-30.08394537
9.505116893,24.56001885,-30.08417118
11.45624868,24.56012854,-30.08418213
9.58283908,24.56013068,-30.0842252
11.72813601,24.56002741,-30.0840515
8.309068375,24.55994151,-30.08327365
8.07662557,24.55986038,-30.08311803
14.28053523,24.56030034,-30.08333361
7.162216661,24.56003455,-30.08334646
9.835067775,24.55942874,-30.08337097
11.15767895,24.55919817,-30.08329388
8.627784471,24.55918294,-30.08388993
9.385558321,24.55893338,-30.08302286
10.25311103,24.55922772,-30.08367245
10.14924208,24.55927841,-30.08364723
15.62102133,24.55996726,-30.08453405
9.59582915,24.55977234,-30.08287319
11.0227574,24.55944492,-30.08377619
8.975657489,24.5589439,-30.08410599
10.48998656,24.55910428,-30.08454452
10.44381085,24.55936602,-30.08314064
10.51409793,24.55948214,-30.08334242
15.60471426,24.55949927,-30.08340476
9.50074026,24.55954805,-30.08412336
7.074829738,24.69879313,-30.15608974
7.216395323,24.6988076,-30.15613713
6.547606378,24.69885797,-30.15615914
9.326680049,24.69876537,-30.15552759
9.553766488,24.69878738,-30.15556249
9.570920385,24.69917622,-30.1547963
7.033890509,24.69920339,-30.15473285
9.24333976,24.69949765,-30.15521608
5.823456008,24.69956645,-30.15534338
8.705873573,24.69884131,-30.15542805
7.44665243,24.6988306,-30.15550459
12.51038671,24.69861328,-30.15566897
7.875253509,24.69866959,-30.15569396
6.984502268,24.69869973,-30.15567492
6.927733309,24.69864203,-30.15575305
9.596096863,24.69887482,-30.15582661
8.856020278,24.69946969,-30.15574234
7.345632805,24.69970545,-30.15544649
7.419294777,24.69968761,-30.15536262
10.78536536,24.69949209,-30.15478877
6.272553931,24.69921826,-30.15467257
7.323687085,24.69887304,-30.15493511
8.677451747,24.69900351,-30.15511019
8.480713454,24.69909373,-30.15536599
9.468097681,24.69857342,-30.15479571
5.773348774,24.69868129,-30.15470509
6.006528653,24.69880582,-30.15465235
4.905314916,24.69883497,-30.15468725
6.663549457,24.69879729,-30.1549121
8.86539671,24.69867177,-30.15547167
7.719297116,24.69826251,-30.15602272
7.420199454,24.69821492,-30.15587618
10.49079402,24.69822622,-30.15554544
10.98784331,24.69815107,-30.15554127
8.067718386,24.6981241,-30.15559283
9.624044709,24.69819132,-30.15562535
6.908866883,24.6982522,-30.15562634
8.448793193,24.69817149,-30.15567829
8.011389123,24.69821135,-30.15569217
9.379335256,24.69851195,-30.15555357
7.40191638,24.69847983,-30.1555153
6.819203938,24.69829483,-30.15512011
7.271745817,24.69816197,-30.15531741
6.195286492,24.69819073,-30.1553882
5.823505269,24.69815444,-30.15540604
8.190222635,24.69895077,-30.15614883
5.273226657,24.698947,-30.15605206
6.624328439,24.69890298,-30.15597077
7.549560624,24.69913934,-30.1556422
5.872017965,24.69900292,-30.15481058
7.137957077,24.69909869,-30.15632709
5.932491339,24.69922639,-30.15615835
6.015393638,24.69887057,-30.15605281
9.195648807,24.69912398,-30.15588875
7.317970721,24.69932469,-30.15485154
9.859638906,24.69951754,-30.15487914
7.97767632,24.69964377,-30.15512518
8.514633109,24.69970635,-30.15505237
8.392417279,24.69972242,-30.15516206
15.23565761,24.69973062,-30.15524011
8.780244981,24.69969529,-30.15561547
5.455441384,24.69967435,-30.1555003
5.480497787,24.69916348,-30.15582653
7.810882683,24.69907366,-30.15577953
6.444775665,24.6988112,-30.15630444
7.458702835,24.69874398,-30.15629671
4.496404981,24.69878645,-30.15630825
6.094221127,24.69876337,-30.15620962
5.083840439,24.69859503,-30.15594657
4.147861692,24.69861811,-30.15597025
6.058105951,24.69867902,-30.15589018
7.373610781,24.69865499,-30.1558577
7.308076748,24.69855791,-30.15620855
4.806644448,24.69829438,-30.15527937
7.196772132,24.6983365,-30.15547353
7.611219793,24.69824834,-30.15543534
7.53233448,24.69806619,-30.15532577
4.703756032,24.69806393,-30.15536765
6.668378291,24.6981716,-30.15634156
3.847209992,24.69805751,-30.15628481
6.698030848,24.69818945,-30.15605127
6.17718873,24.6981584,-30.15597679
4.331656517,24.69813722,-30.15588399
4.606599975,24.69827059,-30.15584651
5.745325346,24.69845476,-30.15605924
6.336642082,24.69845404,-30.1559982
7.909324892,24.69849212,-30.15637047
6.010275173,24.69850473,-30.15640509
4.849679492,24.69832924,-30.156365
5.078764604,24.69838873,-30.15641616
5.709832536,24.69893874,-30.15622675
5.420039552,24.69933575,-30.15517908
8.192787906,24.56032689,-30.08443752
8.59891958,24.5603138,-30.08440024
7.305751915,24.56023687,-30.08423527
9.771659303,24.55994558,-30.08401318
6.876402968,24.55982939,-30.08431736
6.834371894,24.55988035,-30.08432906
6.521172409,24.55969951,-30.08427889
7.275180701,24.55950618,-30.08407049
6.961390378,24.55948555,-30.08392276
8.829432609,24.55960929,-30.08381232
8.669822151,24.55966124,-30.08380478
4.621437041,24.55968325,-30.08376453
3.64741854,24.55969356,-30.08373855
6.197650849,24.55913062,-30.08438002
6.232370615,24.55885916,-30.08351013
6.909002867,24.55883358,-30.08345143
5.925830778,24.55909968,-30.08364595
7.075237803,24.55905011,-30.08312327
7.792975334,24.55932653,-30.08309967
6.426973002,24.55947227,-30.08319485
7.344760636,24.55949725,-30.08318612
6.288710029,24.5595266,-30.08446588
7.258878574,24.55944371,-30.08270408
5.388488971,24.56015085,-30.08388866
5.706841705,24.56041352,-30.08451019
6.787189144,24.55891841,-30.08454753
9.842917269,24.5591604,-30.08336756
7.745479936,24.55919229,-30.08342562
5.848153486,24.55911876,-30.08353317
8.095316718,24.56020546,-30.08377207
8.438379292,24.56019785,-30.08398384
7.329932406,24.55943451,-30.08364048
9.496021861,24.55892698,-30.08275699
7.735349764,24.5589403,-30.08269821
8.368059329,24.55897671,-30.08268608
7.797952664,24.55903762,-30.08271725
9.593214294,24.55919038,-30.08282528
10.43880032,24.55923987,-30.08289476
9.588544266,24.559198,-30.08287453
7.825818703,24.560412,-30.08320528
8.224685848,24.56022878,-30.08358552
7.960821492,24.56050837,-30.08356696
9.713198011,24.55893673,-30.0862686
15.28229104,24.56035108,-30.08576296
6.847785186,24.56028351,-30.08606539
7.448551788,24.56014121,-30.08604588
8.873175357,24.56006864,-30.08580079
11.5207717,24.56011671,-30.08576177
10.85105087,24.56006222,-30.08631999
8.508330642,24.55987567,-30.08607681
10.15222716,24.56002034,-30.0847712
8.709812474,24.56011599,-30.08467959
9.294268424,24.56012051,-30.08499773
7.70329702,24.56017833,-30.08497417
7.625559288,24.55960893,-30.08481118
7.26647339,24.55962344,-30.08475312
10.09507909,24.559494,-30.08475407
8.678745656,24.55951208,-30.08486567
8.77210372,24.55946497,-30.08491587
8.896532698,24.55940453,-30.08503818
9.407681064,24.55943927,-30.08511361
8.207273268,24.5597072,-30.08499106
8.877353552,24.55969959,-30.08482759
10.76360505,24.55977145,-30.08502937
10.31901083,24.55973671,-30.08495204
10.53464281,24.55976859,-30.08516334
9.240655539,24.55980999,-30.08515596
8.594381505,24.5599392,-30.08492991
8.545808081,24.56001962,-30.08489017
9.907643826,24.56006793,-30.08487637
5.74288102,24.56010124,-30.08479975
8.937297451,24.55898694,-30.08463557
7.640345846,24.55889485,-30.08483212
7.969118133,24.55890604,-30.08489707
12.73448795,24.55919609,-30.08503199
7.546143572,24.55939525,-30.08458132
8.28700138,24.55945855,-30.08459917
12.86191897,24.5592049,-30.0863357
7.752906412,24.55928627,-30.08623647
9.103816913,24.55916611,-30.08610156
9.355172359,24.55902834,-30.08606325
9.665601509,24.55905999,-30.08601019
14.5690904,24.55895815,-30.08586195
13.90027532,24.559346,-30.08573583
9.813755028,24.55935314,-30.08578937
11.37027907,24.55950756,-30.08578652
7.533243997,24.55961393,-30.08589669
9.288761206,24.55982689,-30.08592548
9.610871555,24.55978953,-30.08588027
15.61845468,24.55977454,-30.08577081
8.588292209,24.559805,-30.0856516
9.298471903,24.55990041,-30.08560568
12.52175575,24.56009434,-30.08545672
7.734816452,24.56009624,-30.08552287
9.084418918,24.55926414,-30.08636663
8.800599565,24.55921299,-30.08642207
6.763244844,24.55901145,-30.08580056
10.77434381,24.55925939,-30.08482236
7.675033712,24.5592582,-30.08477001
7.194689984,24.55927033,-30.08463795
11.47030676,24.56002462,-30.08522972
9.964294552,24.55994086,-30.08527351
7.897850725,24.56009053,-30.0852854
9.330126191,24.56019689,-30.08529111
9.041885809,24.56031396,-30.0852578
11.07014252,24.56021593,-30.08506602
6.738253732,24.55986187,-30.08548789
8.552849836,24.55983165,-30.08543912
10.27055346,24.55957585,-30.08615367
8.403692178,24.55951113,-30.08619578
9.468076954,24.55935171,-30.08608347
8.645704324,24.55942976,-30.08638233
8.881830558,24.55958966,-30.08636377
6.749937393,24.55916968,-30.08518094
8.047974077,24.5590883,-30.08522211
8.686376932,24.56038178,-30.08535655
5.649527857,24.56026994,-30.08594856
10.26948167,24.56038606,-30.08600971
9.096353108,24.5604446,-30.08591191
7.80922317,24.56043341,-30.08586932
7.652168972,24.56043651,-30.08619721
10.18138311,24.56021141,-30.08619888
8.589149427,24.56051146,-30.08637448
7.189491574,24.56040938,-30.08634617
6.844680643,24.55967555,-30.08606325
10.01424721,24.55973813,-30.08613368
10.26077572,24.55954159,-30.0853763
8.719575209,24.55959798,-30.08568111
